Strain	Tissue	Sex
204875570030_R01C02	MOLF_EiJ	Frontal Lobe Brain	Female
204875570030_R04C01	CAST_EiJ	Frontal Lobe Brain	Male
204875570030_R05C01	CAST_EiJ	Frontal Lobe Brain	Female
204875570030_R06C01	MOLF_EiJ	Frontal Lobe Brain	Male
204875570035_R05C02	CAST_EiJ	Liver	Male
204875570035_R06C02	CAST_EiJ	Liver	Female
204875570040_R05C01	CAST_EiJ	Liver	Female
204875570040_R06C01	CAST_EiJ	Liver	Male
204875570042_R01C02	MOLF_EiJ	Liver	Male
204875570042_R06C01	MOLF_EiJ	Liver	Female
204875570049_R05C02	MOLF_EiJ	Liver	Male
204875570049_R06C02	MOLF_EiJ	Liver	Female
204875570056_R01C02	MOLF_EiJ	Tail	Male
204875570056_R02C02	MOLF_EiJ	Tail	Female
204875570056_R05C01	CAST_EiJ	Tail	Male
204875570056_R06C01	CAST_EiJ	Tail	Female
204875570072_R01C02	MOLF_EiJ	Spleen	Female
204875570072_R04C01	CAST_EiJ	Spleen	Male
204875570072_R05C01	CAST_EiJ	Spleen	Female
204875570072_R06C01	MOLF_EiJ	Spleen	Male
204875570030_R02C02	PWK_PhJ	Frontal Lobe Brain	Male
204875570030_R03C02	PWK_PhJ	Frontal Lobe Brain	Female
204875570056_R03C02	PWK_PhJ	Tail	Male
204875570056_R04C02	PWK_PhJ	Tail	Female
204875570072_R02C02	PWK_PhJ	Spleen	Male
204875570072_R03C02	PWK_PhJ	Spleen	Female
204875570074_R01C01	PWK_PhJ	Liver	Female
204875570074_R02C01	PWK_PhJ	Liver	Male
