ClusterID	Group
Adipocytes	Adipocytes
Bladder-Epithelium	Bladder-Ep
Blood-B-Mem	Blood-B
Blood-B	Blood-B
Blood-Granulocytes	Blood-Granul
Colon-Macrophages	Blood-Mono+Macro
Liver-Macrophages	Blood-Mono+Macro
Blood-Monocytes	Blood-Mono+Macro
Lung-Interstitial-Macrophages	Blood-Mono+Macro
Lung-Alveolar-Macrophages	Blood-Mono+Macro
Blood-NK	Blood-NK
Blood-T-CD4	Blood-T
Blood-T-Naive-CD4	Blood-T
Blood-T-EffMem-CD8	Blood-T
Blood-T-EffMem-CD4	Blood-T
Blood-T-Eff-CD8	Blood-T
Blood-T-CenMem-CD4	Blood-T
Blood-T-CD8	Blood-T
Blood-T-CD3	Blood-T
Blood-T-Naive-CD8	Blood-T
Bone-Osteoblasts	Bone-Osteob
Breast-Basal-Epithelium	Breast-Basal-Ep
Breast-Luminal-Epithelium	Breast-Luminal-Ep
Colon-Left-Endocrine	Colon-Ep
Colon-Left-Epithelium	Colon-Ep
Colon-Right-Endocrine	Colon-Ep
Colon-Right-Epithelium	Colon-Ep
Dermal-Fibroblasts	Dermal-Fibro
Epidermal-Keratinocytes	Epid-Kerat
Bone_marrow-Erythrocyte_progenitors	Eryth-prog
Fallopian-Epithelium	Fallopian-Ep
Gallbladder-Epithelium	Gallbladder
Gastric-body-Epithelium	Gastric-Ep
Gastric-fundus-Epithelium	Gastric-Ep
Gastric-antrum-Endocrine	Gastric-Ep
Gastric-antrum-Epithelium	Gastric-Ep
Pharynx-Epithelium	Head-Neck-Ep
Esophagus-Epithelium	Head-Neck-Ep
Larynx-Epithelium	Head-Neck-Ep
Tongue_base-Epithelium	Head-Neck-Ep
Tongue-Epithelium	Head-Neck-Ep
Tonsil-Pharyngeal-Epithelium	Head-Neck-Ep
Tonsil-Palatine-Epithelium	Head-Neck-Ep
Heart-Cardiomyocyte	Heart-Cardio
Heart-Fibroblasts	Heart-Fibro
Kidney-Glomerular-Epithelium	Kidney-Ep
Kidney-Tubular-Epithelium	Kidney-Ep
Kidney-Glomerular-Podocytes	Kidney-Ep
Liver-Hepatocytes	Liver-Hep
Lung-Pleura	Lung-Ep-Alveo
Lung-Alveolar-Epithelium	Lung-Ep-Alveo
Lung-Bronchus-Epithelium	Lung-Ep-Bron
Cortex-Neuron	Neuron
Neuron	Neuron
Cerebellum-Neuron	Neuron
Oligodendrocytes	Oligodend
Pancreas-Acinar	Pancreas-Acinar
Pancreas-Beta	Pancreas-Beta
Pancreas-Delta	Pancreas-Delta
Pancreas-Duct	Pancreas-Duct
Skeletal-Muscle	Skeletal-Musc
Small-int-Epithelium	Small-Int-Ep
Small-int-Endocrine	Small-Int-Ep
Lung-Bronchus-Smooth-Muscle	Smooth-Musc
Prostate-Smooth-Muscle	Smooth-Musc
Bladder-Smooth-Muscle	Smooth-Musc
Coronary-Artery-Smooth-Muscle	Smooth-Musc
Aorta-Smooth-Muscle	Smooth-Musc
Thyroid-Epithelium	Thyroid-Ep
